horizon_days,training_mode,model_name,feature_set,split,ticker,n_rows,n_features,accuracy,balanced_accuracy,f1,roc_auc
5,pooled,logreg,price_only,train,AAPL,623,15,0.5730337078651685,0.5317960243099519,0.684085510688836,0.5412657212796488
5,pooled,logreg,price_plus_alt,train,AAPL,623,33,0.5762439807383628,0.549616991643454,0.6632653061224489,0.5780155313581496
5,pooled,random_forest,alt_only,train,AAPL,623,19,0.8523274478330658,0.8342776652317043,0.8814432989690721,0.9385076390647422
5,pooled,random_forest,price_only,train,AAPL,623,15,0.7720706260032103,0.7506066936777243,0.8184143222506394,0.869207394277032
5,pooled,random_forest,price_plus_alt,train,AAPL,623,33,0.8314606741573034,0.8061481809740862,0.8692403486924035,0.9519287583354435
5,pooled,logreg,alt_only,train,ALL,1246,19,0.5545746388443018,0.5526341741928786,0.5836459114778695,0.5835798816568047
5,pooled,logreg,price_only,train,ALL,1246,15,0.5537720706260032,0.5488684729575417,0.5959302325581395,0.5833359285788435
5,pooled,logreg,price_plus_alt,train,ALL,1246,33,0.5874799357945425,0.5847477421364061,0.6186943620178041,0.6174893594934081
5,pooled,random_forest,alt_only,train,ALL,1246,19,0.8402889245585875,0.8375428215509186,0.8552727272727273,0.9156026160074742
5,pooled,random_forest,price_only,train,ALL,1246,15,0.7921348314606742,0.7905507110972698,0.8085735402808574,0.8732897332087616
5,pooled,random_forest,price_plus_alt,train,ALL,1246,33,0.8523274478330658,0.8483624000830479,0.8680057388809183,0.9372106301256099
5,pooled,logreg,alt_only,train,TSLA,623,19,0.5473515248796148,0.5502721593369209,0.46387832699619774,0.6006061730685965
5,pooled,logreg,price_only,train,TSLA,623,15,0.5345104333868379,0.5372002639120843,0.45692883895131087,0.5959980206593678
5,pooled,logreg,price_plus_alt,train,TSLA,623,33,0.5987158908507223,0.6005752458712191,0.5567375886524822,0.6445537205418446
5,pooled,random_forest,alt_only,train,TSLA,623,19,0.8282504012841091,0.8291890888847653,0.8213689482470785,0.9050844312488402
5,pooled,random_forest,price_only,train,TSLA,623,15,0.812199036918138,0.8139265169790313,0.7950963222416813,0.9006206057607059
5,pooled,random_forest,price_plus_alt,train,TSLA,623,33,0.8731942215088283,0.8743737242531082,0.8663282571912013,0.9534030226180904
5,separate,logreg,alt_only,test,AAPL,124,18,0.4838709677419355,0.5131972789115646,0.4666666666666667,0.48244897959183675
5,separate,logreg,price_only,test,AAPL,124,14,0.4838709677419355,0.4778231292517007,0.5428571428571428,0.48163265306122455
5,separate,logreg,price_plus_alt,test,AAPL,124,32,0.4435483870967742,0.45510204081632655,0.46511627906976744,0.4416326530612245
5,separate,random_forest,alt_only,test,AAPL,124,18,0.45161290322580644,0.451156462585034,0.5,0.4326530612244898
5,separate,random_forest,price_only,test,AAPL,124,14,0.5080645161290323,0.5048979591836735,0.5611510791366906,0.4585034013605442
5,separate,random_forest,price_plus_alt,test,AAPL,124,32,0.3790322580645161,0.3840816326530612,0.4122137404580153,0.34503401360544217
5,separate,logreg,alt_only,test,ALL,248,18,0.5,0.5070748299319728,0.5338345864661654,0.5077551020408163
5,separate,logreg,price_only,test,ALL,248,14,0.5080645161290323,0.5031292517006802,0.5642857142857143,0.5268707482993198
5,separate,logreg,price_plus_alt,test,ALL,248,32,0.4959677419354839,0.5019727891156462,0.5318352059925093,0.494421768707483
5,separate,random_forest,alt_only,test,ALL,248,18,0.4838709677419355,0.4866666666666667,0.5259259259259259,0.4907482993197279
5,separate,random_forest,price_only,test,ALL,248,14,0.5201612903225806,0.5078231292517007,0.5882352941176471,0.5135374149659864
5,separate,random_forest,price_plus_alt,test,ALL,248,32,0.45161290322580644,0.4476190476190476,0.5072463768115942,0.45258503401360545
5,separate,logreg,alt_only,test,TSLA,124,18,0.5161290322580645,0.5009523809523809,0.589041095890411,0.5357823129251701
5,separate,logreg,price_only,test,TSLA,124,14,0.532258064516129,0.5284353741496599,0.5857142857142857,0.5725170068027211
5,separate,logreg,price_plus_alt,test,TSLA,124,32,0.5483870967741935,0.5488435374149659,0.5942028985507246,0.5338775510204082
5,separate,random_forest,alt_only,test,TSLA,124,18,0.5161290322580645,0.5221768707482993,0.5522388059701493,0.5482993197278911
5,separate,random_forest,price_only,test,TSLA,124,14,0.532258064516129,0.5107482993197279,0.6133333333333333,0.5763265306122449
5,separate,random_forest,price_plus_alt,test,TSLA,124,32,0.5241935483870968,0.511156462585034,0.593103448275862,0.5442176870748299
5,separate,logreg,alt_only,train,AAPL,623,18,0.5714285714285714,0.5699966236177936,0.6090775988286969,0.5958787034692328
5,separate,logreg,price_only,train,AAPL,623,14,0.5698234349919743,0.562088503418587,0.6214689265536724,0.5773824596944375
5,separate,logreg,price_plus_alt,train,AAPL,623,32,0.5987158908507223,0.5971817759770406,0.6355685131195336,0.6349392251202837
5,separate,random_forest,alt_only,train,AAPL,623,18,0.8940609951845907,0.8905366337469401,0.9085872576177285,0.9549358487380771
5,separate,random_forest,price_only,train,AAPL,623,14,0.8475120385232745,0.8421277538617371,0.8689655172413793,0.9256984890689626
5,separate,random_forest,price_plus_alt,train,AAPL,623,32,0.9181380417335474,0.9149362707858529,0.9294605809128631,0.976534143665063
5,separate,logreg,alt_only,train,ALL,1246,18,0.5834670947030498,0.5820123533686287,0.6094808126410836,0.6159010692411503
5,separate,logreg,price_only,train,ALL,1246,14,0.5585874799357945,0.5556446589847399,0.5919881305637982,0.5900705906778781
5,separate,logreg,price_plus_alt,train,ALL,1246,32,0.6163723916532905,0.6153638534205336,0.6395173453996983,0.6622988684729576
5,separate,random_forest,alt_only,train,ALL,1246,18,0.8723916532905297,0.871117512716703,0.8828297715549005,0.9435637911346413
5,separate,random_forest,price_only,train,ALL,1246,14,0.8314606741573034,0.8292691788643206,0.8462664714494875,0.919918509290979
5,separate,random_forest,price_plus_alt,train,ALL,1246,32,0.9069020866773676,0.9051230146371847,0.9152046783625731,0.9708112737464965
5,separate,logreg,alt_only,train,TSLA,623,18,0.5955056179775281,0.5950392775406692,0.6099071207430341,0.6346467083152925
5,separate,logreg,price_only,train,TSLA,623,14,0.5473515248796148,0.5470402672109853,0.559375,0.6060699779385992
5,separate,logreg,price_plus_alt,train,TSLA,623,32,0.6340288924558587,0.6337446650584524,0.64375,0.6855941114616193
5,separate,random_forest,alt_only,train,TSLA,623,18,0.8507223113964687,0.8506474093317664,0.8535433070866142,0.9320426382961176
5,separate,random_forest,price_only,train,TSLA,623,14,0.8154093097913323,0.8151532958083338,0.8205928237129485,0.9172182016865631
5,separate,random_forest,price_plus_alt,train,TSLA,623,32,0.8956661316211878,0.8953217459433827,0.8992248062015504,0.9654543205294736
