ticker,fold,model_name,feature_set,n_train_rows,n_validation_rows,decision_threshold,threshold_tuned,validation_rows_inner,validation_balanced_accuracy_inner,accuracy,balanced_accuracy,f1,roc_auc
TSLA,3,random_forest,price_plus_selected_alt,497,63,0.5,False,0,,0.5396825396825397,0.5560897435897436,0.5084745762711864,0.6378205128205128
TSLA,3,svm_rbf,price_only,497,63,0.52,True,99,0.5386363636363636,0.5079365079365079,0.5865384615384615,0.5866666666666667,0.5576923076923077
TSLA,3,svm_rbf,price_plus_selected_alt,497,63,0.51,True,99,0.5545454545454546,0.47619047619047616,0.5368589743589743,0.5352112676056338,0.6399572649572649
TSLA,4,hist_gradient_boosting,price_only,560,63,0.5,False,0,,0.4126984126984127,0.4106060606060606,0.44776119402985076,0.3686868686868686
TSLA,4,hist_gradient_boosting,price_plus_selected_alt,560,63,0.5,False,0,,0.42857142857142855,0.42727272727272725,0.45454545454545453,0.4222222222222223
TSLA,4,logreg,price_only,560,63,0.5,False,0,,0.42857142857142855,0.42878787878787883,0.4375,0.4181818181818182
TSLA,4,logreg,price_plus_selected_alt,560,63,0.5,False,0,,0.4444444444444444,0.44393939393939397,0.46153846153846156,0.45656565656565656
TSLA,4,mlp_small,price_only,560,63,0.44,True,112,0.5690322580645162,0.5238095238095238,0.5045454545454545,0.6666666666666666,0.5353535353535354
TSLA,4,mlp_small,price_plus_selected_alt,560,63,0.57,True,112,0.5980645161290323,0.4126984126984127,0.4106060606060606,0.44776119402985076,0.3686868686868686
TSLA,4,random_forest,price_only,560,63,0.5,False,0,,0.47619047619047616,0.47575757575757577,0.49230769230769234,0.44747474747474747
TSLA,4,random_forest,price_plus_selected_alt,560,63,0.5,False,0,,0.4603174603174603,0.4590909090909091,0.48484848484848486,0.4929292929292929
TSLA,4,svm_rbf,price_only,560,63,0.53,True,112,0.5122580645161291,0.47619047619047616,0.5,0.0,0.5272727272727272
TSLA,4,svm_rbf,price_plus_selected_alt,560,63,0.53,True,112,0.5816129032258064,0.5396825396825397,0.5469696969696969,0.4727272727272727,0.5671717171717172
