ticker,fold,model_name,feature_set,n_train_rows,n_validation_rows,decision_threshold,threshold_tuned,validation_rows_inner,validation_balanced_accuracy_inner,accuracy,balanced_accuracy,f1,roc_auc
AAPL,2,logreg,price_plus_alt_stationary,434,63,0.5,False,0,,0.49206349206349204,0.5168478260869566,0.5151515151515151,0.47173913043478266
AAPL,2,random_forest,price_only,434,63,0.5,False,0,,0.47619047619047616,0.4581521739130435,0.56,0.45543478260869563
AAPL,2,random_forest,price_plus_alt_current,434,63,0.5,False,0,,0.4126984126984127,0.4173913043478261,0.463768115942029,0.4206521739130435
AAPL,2,random_forest,price_plus_alt_stationary,434,63,0.5,False,0,,0.5714285714285714,0.5331521739130435,0.6666666666666666,0.47173913043478266
AAPL,3,hist_gradient_boosting,price_only,497,63,0.5,False,0,,0.5079365079365079,0.5428571428571428,0.6075949367088608,0.5428571428571428
AAPL,3,hist_gradient_boosting,price_plus_alt_current,497,63,0.5,False,0,,0.5238095238095238,0.5607142857142857,0.625,0.4418367346938775
AAPL,3,hist_gradient_boosting,price_plus_alt_stationary,497,63,0.5,False,0,,0.5555555555555556,0.5857142857142856,0.631578947368421,0.636734693877551
AAPL,3,logreg,price_only,497,63,0.5,False,0,,0.4444444444444444,0.4464285714285714,0.4262295081967213,0.45306122448979586
AAPL,3,logreg,price_plus_alt_current,497,63,0.5,False,0,,0.42857142857142855,0.44285714285714284,0.47058823529411764,0.46938775510204084
AAPL,3,logreg,price_plus_alt_stationary,497,63,0.5,False,0,,0.5396825396825397,0.5428571428571428,0.5245901639344263,0.5530612244897959
AAPL,3,random_forest,price_only,497,63,0.5,False,0,,0.47619047619047616,0.5071428571428571,0.5714285714285714,0.503061224489796
AAPL,3,random_forest,price_plus_alt_current,497,63,0.5,False,0,,0.5079365079365079,0.5357142857142857,0.5866666666666667,0.5244897959183674
AAPL,3,random_forest,price_plus_alt_stationary,497,63,0.5,False,0,,0.49206349206349204,0.5142857142857142,0.5555555555555556,0.5020408163265305
AAPL,4,hist_gradient_boosting,price_only,560,63,0.5,False,0,,0.5079365079365079,0.4934077079107505,0.5974025974025974,0.5101419878296146
AAPL,4,hist_gradient_boosting,price_plus_alt_current,560,63,0.5,False,0,,0.5396825396825397,0.5354969574036511,0.5797101449275363,0.5436105476673427
AAPL,4,hist_gradient_boosting,price_plus_alt_stationary,560,63,0.5,False,0,,0.5555555555555556,0.5400608519269777,0.6410256410256411,0.5162271805273834
AAPL,4,logreg,price_only,560,63,0.5,False,0,,0.5873015873015873,0.5796146044624747,0.6388888888888888,0.6014198782961461
AAPL,4,logreg,price_plus_alt_current,560,63,0.5,False,0,,0.5238095238095238,0.513184584178499,0.5945945945945946,0.5720081135902637
AAPL,4,logreg,price_plus_alt_stationary,560,63,0.5,False,0,,0.5714285714285714,0.5522312373225152,0.6666666666666666,0.6014198782961461
AAPL,4,random_forest,price_only,560,63,0.5,False,0,,0.49206349206349204,0.48630831643002026,0.5428571428571428,0.48884381338742394
AAPL,4,random_forest,price_plus_alt_current,560,63,0.5,False,0,,0.5555555555555556,0.5476673427991887,0.6111111111111112,0.5283975659229208
AAPL,4,random_forest,price_plus_alt_stationary,560,63,0.5,False,0,,0.5238095238095238,0.5157200811359026,0.5833333333333334,0.5740365111561867
TSLA,1,hist_gradient_boosting,price_only,371,63,0.5,False,0,,0.42857142857142855,0.4483695652173913,0.45454545454545453,0.44456521739130433
TSLA,1,hist_gradient_boosting,price_plus_alt_current,371,63,0.5,False,0,,0.5873015873015873,0.5179347826086956,0.7045454545454546,0.4902173913043479
TSLA,1,hist_gradient_boosting,price_plus_alt_stationary,371,63,0.5,False,0,,0.5238095238095238,0.458695652173913,0.6511627906976745,0.5
TSLA,1,logreg,price_only,371,63,0.5,False,0,,0.4603174603174603,0.46413043478260874,0.5142857142857142,0.5130434782608696
TSLA,1,logreg,price_plus_alt_current,371,63,0.5,False,0,,0.5555555555555556,0.5206521739130435,0.65,0.55
TSLA,1,logreg,price_plus_alt_stationary,371,63,0.5,False,0,,0.5873015873015873,0.5826086956521739,0.6486486486486487,0.6076086956521738
TSLA,1,random_forest,price_only,371,63,0.5,False,0,,0.49206349206349204,0.4983695652173913,0.5428571428571428,0.5021739130434782
TSLA,1,random_forest,price_plus_alt_current,371,63,0.5,False,0,,0.5714285714285714,0.5054347826086957,0.6896551724137931,0.475
